dsid,mzp,mdh,mdm,gq,gx,acc_MET150200_2b,acc_MET200350_2b,acc_MET350500_2b,acc_MET500750_2b,acc_MET750_2b,acc_MET150200_3b,acc_MET200350_3b,acc_MET350500_3b,acc_MET500_3b,acc_total,sensitivity
100958,2000,150,655,0.25,3.5,0.0011677,0.0895276,0.0504022,0.0332138,0.0139725,0.0,0.00105444,0.000865943,0.00101693,0.191221113,54.2258477685
100959,2000,150,840,0.25,0.5,0.00076058,0.0820123,0.0469705,0.0261135,0.00917194,0.0,0.00119976,0.00122695,0.00118628,0.16864180999999998,0.0226884685915
100960,2000,150,840,0.25,1.0,0.000674379,0.0778867,0.045896,0.026504,0.0127202,0.0,0.00109486,0.000667593,0.0012158,0.166659532,0.377413490497
100961,2000,150,840,0.25,1.5,0.00148786,0.0799088,0.0429528,0.0306949,0.00975362,8.52906e-05,0.00155556,0.000973167,0.00182834,0.1692403376,1.72069656514
100962,2000,150,840,0.25,2.0,0.0010697,0.0785859,0.0455805,0.0296229,0.0100277,0.0,0.00195064,0.00104766,0.00129645,0.16918145000000004,4.80083889219
100963,2000,150,840,0.25,2.5,0.00112968,0.0794951,0.0489801,0.0292101,0.0125835,0.0,0.000812562,0.00126144,0.00139514,0.17486762199999997,11.1343333158
100964,2000,150,840,0.25,3.0,0.000965261,0.0839691,0.0430792,0.0337768,0.012732,0.0,0.000985452,0.000616813,0.00163034,0.17775496600000001,20.3630086583
100965,2000,150,840,0.25,3.5,0.00126467,0.0793341,0.0458084,0.0302488,0.0125109,0.0,0.000983156,0.000773043,0.00141908,0.17234214899999997,31.404098161
100966,2000,150,1025,0.25,0.5,0.00118879,0.0811225,0.0481874,0.0354252,0.0157259,0.0,0.00114369,0.00104566,0.00216008,0.18599922,0.000689753732572
100967,2000,150,1025,0.25,1.0,0.000929772,0.0798727,0.0513514,0.0407524,0.0159367,0.0,0.00101987,0.00113734,0.00179518,0.192795362,0.0116674782619
100968,2000,150,1025,0.25,1.5,0.000559377,0.0815649,0.0479492,0.0342685,0.0156149,0.0,0.00146758,0.000824074,0.00145086,0.183699391,0.0541983963986
100969,2000,150,1025,0.25,2.0,0.00178477,0.0857512,0.0476673,0.0366285,0.0143044,0.0,0.000794755,0.00092913,0.00178225,0.189642305,0.17163470458
100970,2000,150,1025,0.25,2.5,0.00138392,0.0772927,0.0482579,0.0361853,0.015921,0.0,0.000760665,0.000941897,0.00209948,0.182842862,0.435386062244
100972,2000,150,1025,0.25,3.5,0.00137308,0.0828425,0.0509084,0.0335327,0.0155847,0.0,0.000995386,0.000462802,0.00210929,0.18780885800000002,1.61544522024
100973,2000,150,1210,0.25,0.5,0.00149854,0.0856086,0.0495536,0.0351814,0.0172811,0.0,0.00128088,0.000723429,0.0016651,0.19279264900000004,0.000104514912701
100974,2000,150,1210,0.25,1.0,0.00108815,0.0824079,0.0500717,0.0369209,0.0171958,0.0,0.00107099,0.00079949,0.00165177,0.1912067,0.00168346048947
100975,2000,150,1210,0.25,1.5,0.00132339,0.0837174,0.0497954,0.0372624,0.0194342,0.0,0.00147679,0.00121621,0.00196279,0.19618858,0.00907371021028
100976,2000,150,1210,0.25,2.0,0.00109217,0.0859083,0.0491171,0.0369264,0.0160927,0.0,0.00197308,0.00142511,0.00154638,0.19408124,0.0267577518356
